Events
200
Subject	Context	Name	Time (s)	Description
Ref_01_FB	Left	Foot Strike	2.385	The instant the heel strikes the ground
Ref_01_FB	Left	Foot Off	3.094	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	3.483	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	2.505	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	2.965	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	3.668	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	4.07	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
480	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	6.69924	42.4234	-49.7195	11348.2	1638.88	3143.28	-82.2255	3026.46	326.165
480	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	6.51687	42.2264	-52.698	11884.5	1630.01	3178.91	-84.1415	3027.22	326.3
480	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	7.61442	44.9677	-57.72	12958.6	1920.33	3268.93	-82.5471	3027.42	326.337
480	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	7.9867	47.3113	-59.5037	13493.9	1667.13	3795.22	-86.1078	3025.93	326.066
480	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	8.89817	48.9203	-64.3624	14108.1	1920.83	4099.61	-84.3232	3031.49	327.072
481	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	9.98046	48.1684	-66.3368	14569.3	2255.84	3957.56	-81.0918	3030.07	326.817
481	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	10.8835	47.8527	-69.7039	15028.6	2162.24	4033.16	-83.7847	3032.41	327.238
481	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	10.5221	48.1563	-74.4314	15947.9	2119.39	4247.32	-85.957	3032.38	327.232
481	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	10.5102	45.643	-77.8281	17176.4	2661.03	4235.28	-80.8768	3024.67	325.843
481	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	11.5766	41.5813	-85.9179	18021.5	3183.82	3906.1	-79.0516	3031.35	327.049
482	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3653	37.066	-91.5143	19171.6	3342.34	3861.72	-79.5459	3029.03	326.63
482	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.5313	34.0127	-99.0548	20705.5	3659.62	3790.92	-79.3841	3027.42	326.34
482	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.14	27.8201	-107.53	21856.4	4020.54	3488.03	-79.3625	3030.06	326.817
482	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.4723	21.4956	-115.294	23391.5	4628.53	3100.92	-77.1431	3027.97	326.441
482	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.0861	16.3419	-121.375	24694.9	4802.49	2967.22	-77.7413	3025.62	326.016
483	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.4277	12.0905	-128.396	26075.3	5064.4	2775.68	-78.0566	3024.56	325.825
483	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.0456	7.92148	-136.874	27610.3	5649.81	2513.58	-76.5467	3024.62	325.836
483	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3805	2.19564	-144.897	28683.7	5794.55	2116.27	-78.167	3026.83	326.235
483	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3645	-1.11416	-151.012	30294.2	6124.38	1974.04	-77.7057	3023.38	325.611
483	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	14.0842	-1.77518	-159.592	31752.5	6664.98	1961.97	-76.6078	3024.89	325.885
484	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3441	-5.05195	-167.909	33287.1	7139.51	1882.69	-75.8906	3024.93	325.892
484	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.154	-6.79247	-175.58	34208.1	7478.9	1704.85	-76.018	3028.05	326.457
484	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3289	-7.88648	-182.767	35434.8	7637.08	1660.45	-76.9111	3028.85	326.6
484	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.3332	-6.74339	-188.078	36891.3	7778.09	1705.31	-77.4054	3026.83	326.234
484	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.9737	-5.94001	-194.555	37890.1	8380.05	1796.23	-75.6903	3028.42	326.523
485	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.6119	-5.76508	-198.57	39040.8	8686.14	1796.93	-75.0616	3026.61	326.196
