Events
200
Subject	Context	Name	Time (s)	Description
Ref01_FB	Left	Foot Off	3.51	The instant the toe leaves the ground
Ref01_FB	Left	Foot Strike	3.92	The instant the heel strikes the ground
Ref01_FB	Left	Foot Off	4.579	The instant the toe leaves the ground
Ref01_FB	Left	Foot Strike	4.945	The instant the heel strikes the ground
Ref01_FB	Right	Foot Strike	3.375	The instant the heel strikes the ground
Ref01_FB	Right	Foot Off	4.045	The instant the toe leaves the ground
Ref01_FB	Right	Foot Strike	4.455	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
677	2	-0.502023	-32.9914	-58.7815	-14180.2	1285.42	222.015	-138.301	4713.98	53.9141	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
677	3	0.463563	-34.5507	-63.499	-15786.2	903.967	-3.38243	-146.06	4721.34	53.9245	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
677	4	-0.156855	-38.0543	-71.5235	-16860.5	1361.46	80.5848	-141.207	4708.34	53.7951	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
678	0	1.36095	-39.7835	-76.9607	-18618.7	1287.93	-251.122	-143.598	4714.52	53.8556	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
678	1	1.99845	-34.2371	-84.837	-20073.7	1287.56	-323.841	-145.202	4708.76	53.7512	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
678	2	3.70309	-32.698	-90.9481	-22067.6	1744.04	-233.279	-141.178	4714.59	53.887	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
678	3	4.90673	-32.1974	-100.339	-23672.2	1977.89	-613.013	-140.705	4707.73	53.7925	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
678	4	3.35641	-28.8458	-106.827	-25201	1904.02	-905.544	-142.646	4707.62	53.7665	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
679	0	3.63032	-21.6709	-114.684	-27120.4	2664.91	-664.386	-137.201	4707.88	53.8386	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
679	1	4.85435	-18.7912	-125.85	-29572.5	2355.67	-645.233	-141.734	4706.21	53.7574	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
679	2	5.4582	-16.0019	-130.871	-31640.1	2431.94	-760.819	-141.887	4712.91	53.8535	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
679	3	5.96886	-10.0302	-143.087	-33554.3	3275.54	-935.856	-137.601	4705.47	53.7983	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
679	4	6.26656	-3.91474	-152.77	-35393.6	3043.41	-907.883	-140.577	4702.49	53.7174	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
680	0	6.72338	-3.26028	-160.358	-37614.9	3119.03	-989.107	-141.053	4705.36	53.7534	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
680	1	6.83389	-0.051229	-169.361	-39455	3576.17	-932.908	-139.384	4703.68	53.7498	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
680	2	5.83488	4.03536	-176.555	-40756.1	3806.82	-1072.92	-138.952	4701.51	53.7235	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
680	3	8.3078	6.71397	-186.261	-42133.4	3807.83	-1235.39	-140.084	4696.81	53.6405	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
680	4	8.20494	5.89897	-192.429	-43743.9	4264.89	-1158.16	-138.355	4697.94	53.6787	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
681	0	9.35371	6.69791	-197.472	-45122.5	4417.8	-1227.68	-138.152	4699.09	53.6982	0	-0	0	0	-0	0	77.4757	3863.32	44.752	0	-0	0	0	-0	0	-147.486	3251.44	34.2154
