Events
200
Subject	Context	Name	Time (s)	Description
Ref_01_FB	Left	Foot Off	2.67	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	3.066	The instant the heel strikes the ground
Ref_01_FB	Left	Foot Off	3.737	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	4.13	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Strike	2.534	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	3.202	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	3.606	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
474	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
474	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
475	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
476	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
476	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
476	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
476	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
476	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
477	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
477	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
477	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
477	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
477	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
478	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
478	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
478	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
478	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
478	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
479	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
479	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
479	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
479	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
479	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
480	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
480	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
480	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
480	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
480	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
481	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
481	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
481	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
